id,timestamp,value,sensor_type,location
54,2025-08-02T21:40:40.918464,930.19,pressure,Building 18-Floor 5
55,2025-08-01T23:40:40.918468,999.88,pressure,Building 20-Floor 5
56,2025-07-29T21:09:40.918473,976.87,pressure,Building 2-Floor 4
57,2025-08-04T05:23:40.918478,36.78,temperature,Building 20-Floor 5
58,2025-08-01T23:35:40.918482,3.07,humidity,Building 6-Floor 2
59,2025-07-30T15:27:40.918487,61.52,humidity,Building 12-Floor 1
60,2025-07-30T05:40:40.918491,36.79,temperature,Building 5-Floor 4
61,2025-08-03T15:00:40.918496,36.72,temperature,Building 19-Floor 5
62,2025-08-04T14:17:40.918500,16.94,temperature,Building 8-Floor 3
63,2025-07-29T07:20:40.918505,18.95,temperature,Building 11-Floor 2
64,2025-08-03T14:56:40.918510,962.85,pressure,Building 20-Floor 2
65,2025-07-30T12:07:40.918514,923.89,pressure,Building 6-Floor 5
66,2025-07-29T17:00:40.918519,25.89,temperature,Building 9-Floor 5
67,2025-07-30T07:21:40.918524,39.84,temperature,Building 6-Floor 2
68,2025-08-03T17:22:40.918528,50.05,humidity,Building 17-Floor 5
69,2025-07-29T07:20:40.918533,27.38,temperature,Building 1-Floor 2
70,2025-07-31T06:26:40.918537,12.23,temperature,Building 17-Floor 2
71,2025-08-03T09:08:40.918542,938.56,pressure,Building 17-Floor 1
72,2025-07-30T17:37:40.918546,1044.68,pressure,Building 13-Floor 2
73,2025-07-30T01:19:40.918551,13.56,temperature,Building 1-Floor 5
74,2025-08-04T09:07:40.918555,10.06,humidity,Building 20-Floor 3
75,2025-08-04T14:49:40.918559,1086.2,pressure,Building 19-Floor 2
76,2025-07-28T18:32:40.918564,28.72,humidity,Building 20-Floor 1
77,2025-08-02T23:49:40.918569,70.82,humidity,Building 1-Floor 1
78,2025-08-02T21:07:40.918574,65.28,humidity,Building 2-Floor 1
79,2025-08-02T11:00:40.918579,1017.65,pressure,Building 11-Floor 4
80,2025-08-01T17:40:40.918583,83.39,humidity,Building 9-Floor 3
81,2025-07-30T09:58:40.918588,930.35,pressure,Building 20-Floor 4
82,2025-07-29T14:42:40.918593,92.77,humidity,Building 9-Floor 1
83,2025-08-04T01:58:40.918597,49.98,humidity,Building 10-Floor 5
84,2025-07-29T16:00:40.918602,39.25,temperature,Building 1-Floor 3
85,2025-07-31T13:18:40.918606,21.44,temperature,Building 11-Floor 1
86,2025-07-29T17:58:40.918611,994.76,pressure,Building 11-Floor 2
87,2025-08-02T18:37:40.918615,36.1,humidity,Building 18-Floor 4
88,2025-08-01T07:46:40.918620,1092.04,pressure,Building 16-Floor 2
89,2025-07-29T03:23:40.918626,962.79,pressure,Building 19-Floor 3
90,2025-07-31T15:42:40.918631,12.12,humidity,Building 9-Floor 4
91,2025-08-01T02:36:40.918636,96.27,humidity,Building 4-Floor 3
92,2025-07-31T11:47:40.918640,33.16,temperature,Building 10-Floor 4
93,2025-08-01T02:39:40.918645,15.16,temperature,Building 19-Floor 1
94,2025-07-29T18:29:40.918650,18.45,temperature,Building 15-Floor 1
95,2025-07-31T08:47:40.918654,22.75,humidity,Building 19-Floor 4
96,2025-07-29T20:25:40.918659,1093.78,pressure,Building 8-Floor 3
97,2025-07-29T04:53:40.918663,12.93,temperature,Building 13-Floor 2
98,2025-08-02T22:31:40.918668,49.57,humidity,Building 9-Floor 2
99,2025-07-31T04:09:40.918672,1044.49,pressure,Building 11-Floor 4
100,2025-08-03T18:36:40.918677,15.72,temperature,Building 2-Floor 5
101,2025-07-30T19:43:40.918681,19.69,temperature,Building 3-Floor 3
102,2025-08-01T17:27:40.918686,91.74,humidity,Building 2-Floor 2
103,2025-08-03T19:56:40.918690,14.9,temperature,Building 10-Floor 5
104,2025-07-30T18:21:40.918695,1078.29,pressure,Building 8-Floor 2
105,2025-07-29T21:30:40.918699,917.33,pressure,Building 17-Floor 3
106,2025-07-30T21:08:40.918704,73.03,humidity,Building 3-Floor 1
107,2025-08-03T20:42:40.918708,62.06,humidity,Building 8-Floor 4
108,2025-07-30T21:43:40.918713,1053.18,pressure,Building 9-Floor 1
109,2025-07-28T23:52:40.918718,1040.55,pressure,Building 9-Floor 5
110,2025-07-31T09:54:40.918722,74.26,humidity,Building 14-Floor 3
111,2025-08-02T16:19:40.918727,18.82,temperature,Building 6-Floor 5
112,2025-07-29T14:04:40.918731,93.1,humidity,Building 12-Floor 4
113,2025-07-29T23:24:40.918736,31.83,temperature,Building 2-Floor 2
114,2025-07-29T08:31:40.918740,78.88,humidity,Building 8-Floor 3
115,2025-07-30T08:46:40.918745,11.13,temperature,Building 20-Floor 5
116,2025-07-31T13:32:40.918749,55.58,humidity,Building 4-Floor 1
117,2025-08-03T18:52:40.918754,1019.83,pressure,Building 1-Floor 3
118,2025-08-02T15:37:40.918758,35.48,temperature,Building 13-Floor 5
119,2025-08-01T10:56:40.918762,26.83,temperature,Building 11-Floor 5
120,2025-07-30T10:47:40.918767,29.03,humidity,Building 14-Floor 4
121,2025-08-03T01:24:40.918771,36.38,temperature,Building 1-Floor 4
122,2025-08-04T13:41:40.918776,16.13,temperature,Building 6-Floor 1
123,2025-08-01T06:08:40.918856,1049.45,pressure,Building 9-Floor 1
124,2025-07-31T21:29:40.918862,17.06,temperature,Building 19-Floor 3
125,2025-07-31T13:13:40.918867,12.33,temperature,Building 18-Floor 3
126,2025-07-30T12:20:40.918872,983.98,pressure,Building 15-Floor 5
127,2025-08-02T06:25:40.918876,1062.36,pressure,Building 13-Floor 1
128,2025-07-30T07:51:40.918881,1043.81,pressure,Building 17-Floor 3
129,2025-07-31T19:42:40.918886,32.55,temperature,Building 20-Floor 5
130,2025-07-30T06:49:40.918890,1043.28,pressure,Building 13-Floor 2
131,2025-07-29T22:26:40.918894,962.09,pressure,Building 12-Floor 3
132,2025-07-31T11:55:40.918899,6.92,humidity,Building 1-Floor 5
133,2025-08-03T22:27:40.918903,1018.84,pressure,Building 14-Floor 1
134,2025-07-30T12:12:40.918908,47.61,humidity,Building 20-Floor 4
135,2025-07-30T22:56:40.918912,35.39,humidity,Building 20-Floor 5
136,2025-07-30T16:03:40.918917,76.44,humidity,Building 13-Floor 3
137,2025-08-03T01:59:40.918921,34.63,humidity,Building 14-Floor 3
138,2025-08-02T18:35:40.918926,69.83,humidity,Building 16-Floor 1
139,2025-08-03T17:33:40.918930,82.9,humidity,Building 14-Floor 1
140,2025-07-30T17:16:40.918935,37.46,temperature,Building 3-Floor 1
141,2025-08-03T15:03:40.918939,24.65,temperature,Building 6-Floor 4
142,2025-07-30T18:34:40.918944,11.54,temperature,Building 1-Floor 5
143,2025-08-03T08:05:40.918948,79.58,humidity,Building 9-Floor 3
144,2025-07-30T22:38:40.918952,1039.34,pressure,Building 11-Floor 1
145,2025-08-02T12:27:40.918957,89.79,humidity,Building 18-Floor 2
146,2025-07-30T01:45:40.918962,52.82,humidity,Building 12-Floor 4
147,2025-08-03T00:43:40.918966,81.5,humidity,Building 12-Floor 3
148,2025-08-01T12:44:40.918971,962.78,pressure,Building 19-Floor 1
149,2025-07-31T18:22:40.918975,1028.38,pressure,Building 15-Floor 3
150,2025-08-04T03:49:40.918980,75.49,humidity,Building 16-Floor 2
151,2025-07-30T01:27:40.918984,966.75,pressure,Building 4-Floor 3
152,2025-08-02T16:21:40.918989,24.95,temperature,Building 12-Floor 4
153,2025-08-02T19:31:40.918994,943.05,pressure,Building 3-Floor 2
154,2025-07-31T01:58:40.918998,1049.14,pressure,Building 10-Floor 3
155,2025-07-30T09:20:40.919003,1001.09,pressure,Building 15-Floor 2
156,2025-07-29T20:26:40.919007,7.33,humidity,Building 3-Floor 4
157,2025-07-30T08:43:40.919012,953.74,pressure,Building 10-Floor 3
158,2025-07-29T16:41:40.919016,37.41,temperature,Building 5-Floor 1
159,2025-07-30T21:25:40.919021,17.09,temperature,Building 15-Floor 4
160,2025-08-02T11:23:40.919025,1064.64,pressure,Building 8-Floor 4
161,2025-08-01T05:59:40.919030,1042.41,pressure,Building 17-Floor 5
162,2025-07-30T12:34:40.919034,37.81,humidity,Building 15-Floor 2
163,2025-08-02T15:26:40.919038,54.37,humidity,Building 19-Floor 3
164,2025-08-02T16:12:40.919043,1035.25,pressure,Building 8-Floor 5
165,2025-08-02T07:00:40.919048,1009.42,pressure,Building 14-Floor 1
166,2025-08-02T11:38:40.919052,96.55,humidity,Building 20-Floor 5
167,2025-07-31T04:02:40.919057,48.59,humidity,Building 2-Floor 5
168,2025-08-03T08:28:40.919061,58.56,humidity,Building 1-Floor 3
169,2025-08-02T04:29:40.919066,1019.96,pressure,Building 16-Floor 5
170,2025-07-29T05:17:40.919070,1094.39,pressure,Building 13-Floor 1
171,2025-08-04T15:46:40.919074,950.08,pressure,Building 14-Floor 3
172,2025-07-29T03:58:40.919079,1066.91,pressure,Building 14-Floor 3
173,2025-08-04T02:29:40.919083,54.19,humidity,Building 18-Floor 5
174,2025-08-02T13:48:40.919088,29.54,temperature,Building 2-Floor 1
175,2025-08-02T09:23:40.919092,17.38,temperature,Building 19-Floor 2
176,2025-08-04T07:00:40.919097,35.61,humidity,Building 8-Floor 1
177,2025-08-01T13:21:40.919101,34.79,temperature,Building 20-Floor 5
178,2025-07-29T05:26:40.919105,917.92,pressure,Building 1-Floor 3
179,2025-07-30T03:03:40.919110,1026.5,pressure,Building 5-Floor 3
180,2025-08-04T11:31:40.919114,18.74,temperature,Building 14-Floor 3
181,2025-07-31T06:25:40.919119,10.61,temperature,Building 10-Floor 1
182,2025-07-29T01:34:40.919123,19.81,humidity,Building 2-Floor 2
183,2025-07-30T23:33:40.919128,10.92,temperature,Building 2-Floor 4
184,2025-08-03T10:29:40.919132,0.91,humidity,Building 13-Floor 5
185,2025-08-02T21:18:40.919137,2.06,humidity,Building 14-Floor 5
186,2025-07-30T03:35:40.919141,953.05,pressure,Building 1-Floor 4
187,2025-08-03T08:46:40.919146,1095.07,pressure,Building 3-Floor 4
188,2025-07-30T05:04:40.919151,1084.35,pressure,Building 6-Floor 3
189,2025-08-04T14:18:40.919155,1058.73,pressure,Building 4-Floor 4
190,2025-08-01T22:06:40.919160,906.76,pressure,Building 14-Floor 1
191,2025-07-30T04:51:40.919164,1011.37,pressure,Building 9-Floor 2
192,2025-07-31T20:31:40.919168,13.35,temperature,Building 16-Floor 2
193,2025-07-31T19:44:40.919173,22.15,humidity,Building 10-Floor 1
194,2025-08-03T05:40:40.919177,25.77,temperature,Building 10-Floor 5
195,2025-08-01T09:59:40.919182,94.95,humidity,Building 3-Floor 5
196,2025-08-04T17:58:40.919186,46.13,humidity,Building 15-Floor 1
197,2025-08-04T17:57:40.919190,66.47,humidity,Building 19-Floor 5
198,2025-08-04T13:45:40.919195,59.35,humidity,Building 13-Floor 4
199,2025-08-04T13:58:40.919199,915.9,pressure,Building 17-Floor 1
200,2025-08-01T07:56:40.919204,930.91,pressure,Building 1-Floor 4
201,2025-08-02T04:17:40.919208,32.29,temperature,Building 20-Floor 4
202,2025-08-02T01:29:40.919213,22.19,temperature,Building 18-Floor 3
203,2025-08-02T04:15:40.919217,34.54,humidity,Building 2-Floor 1
204,2025-07-29T03:08:40.919222,987.1,pressure,Building 9-Floor 1
205,2025-07-28T19:55:40.919226,69.66,humidity,Building 19-Floor 1
206,2025-07-29T01:04:40.919231,23.36,temperature,Building 14-Floor 1
207,2025-08-04T14:03:40.919235,18.36,temperature,Building 17-Floor 1
208,2025-07-30T12:57:40.919240,39.48,humidity,Building 8-Floor 5
209,2025-08-04T15:42:40.919244,31.94,temperature,Building 7-Floor 4
210,2025-08-03T14:34:40.919248,34.77,humidity,Building 14-Floor 1
211,2025-08-04T00:57:40.919253,1080.19,pressure,Building 10-Floor 4
212,2025-08-01T05:40:40.919257,1042.95,pressure,Building 18-Floor 5
213,2025-07-30T13:53:40.919262,39.9,humidity,Building 2-Floor 5
214,2025-08-02T23:23:40.919267,982.8,pressure,Building 11-Floor 2
215,2025-07-30T07:52:40.919271,1040.94,pressure,Building 14-Floor 3
216,2025-08-01T15:22:40.919276,27.2,temperature,Building 7-Floor 2
217,2025-08-04T04:13:40.919281,7.6,humidity,Building 20-Floor 5
218,2025-07-29T21:06:40.919285,962.92,pressure,Building 7-Floor 5
219,2025-08-04T06:13:40.919290,7.76,humidity,Building 13-Floor 3
220,2025-07-30T11:47:40.919294,990.04,pressure,Building 7-Floor 4
221,2025-08-02T06:15:40.919299,34.18,humidity,Building 13-Floor 4
222,2025-08-01T03:56:40.919303,70.1,humidity,Building 17-Floor 2
223,2025-07-30T21:37:40.919308,60.53,humidity,Building 3-Floor 1
224,2025-08-03T01:03:40.919312,1065.2,pressure,Building 1-Floor 4
225,2025-08-03T15:43:40.919317,993.52,pressure,Building 10-Floor 4
226,2025-07-30T19:20:40.919321,1074.78,pressure,Building 1-Floor 5
227,2025-08-02T04:24:40.919326,30.4,temperature,Building 4-Floor 5
228,2025-08-02T02:03:40.919330,89.16,humidity,Building 15-Floor 2
229,2025-08-01T00:30:40.919335,91.85,humidity,Building 6-Floor 1
230,2025-08-04T01:22:40.919339,62.24,humidity,Building 6-Floor 4
231,2025-08-04T10:45:40.919344,929.26,pressure,Building 2-Floor 4
232,2025-08-03T02:18:40.919349,1042.57,pressure,Building 15-Floor 4
233,2025-07-31T01:20:40.919353,21.69,temperature,Building 9-Floor 2
234,2025-07-30T01:49:40.919358,90.41,humidity,Building 8-Floor 2
235,2025-07-31T15:05:40.919362,16.8,humidity,Building 20-Floor 2
236,2025-08-02T04:52:40.919367,18.25,humidity,Building 13-Floor 4
237,2025-07-31T01:32:40.919371,77.76,humidity,Building 8-Floor 3
238,2025-08-03T00:05:40.919376,23.34,temperature,Building 5-Floor 1
239,2025-08-02T19:12:40.919380,37.26,humidity,Building 10-Floor 3
240,2025-07-31T14:46:40.919385,34.35,temperature,Building 13-Floor 4
241,2025-07-29T01:21:40.919389,17.05,temperature,Building 5-Floor 4
242,2025-08-02T09:39:40.919393,24.81,temperature,Building 1-Floor 5
243,2025-07-30T13:22:40.919398,1088.09,pressure,Building 19-Floor 5
244,2025-07-31T01:18:40.919416,37.48,temperature,Building 16-Floor 1
245,2025-07-30T16:35:40.919422,987.65,pressure,Building 16-Floor 4
246,2025-08-03T17:36:40.919427,946.75,pressure,Building 8-Floor 3
247,2025-08-01T07:12:40.919431,14.04,temperature,Building 2-Floor 4
248,2025-07-29T14:41:40.919436,85.0,humidity,Building 5-Floor 5
249,2025-07-30T20:21:40.919441,1004.02,pressure,Building 7-Floor 2
250,2025-07-31T20:02:40.919445,49.09,humidity,Building 18-Floor 2
251,2025-07-29T15:17:40.919450,61.8,humidity,Building 20-Floor 5
252,2025-07-31T04:27:40.919454,13.97,temperature,Building 13-Floor 5
253,2025-08-01T19:14:40.919459,8.88,humidity,Building 2-Floor 1
254,2025-07-31T15:33:40.919463,77.09,humidity,Building 17-Floor 1
255,2025-07-29T20:22:40.919467,96.61,humidity,Building 15-Floor 1
256,2025-07-30T13:48:40.919472,1011.17,pressure,Building 7-Floor 4
257,2025-08-01T03:33:40.919476,14.23,humidity,Building 2-Floor 3
258,2025-07-31T12:10:40.919481,1089.92,pressure,Building 6-Floor 5
259,2025-07-29T15:31:40.919486,26.56,humidity,Building 5-Floor 4
260,2025-07-31T13:51:40.919491,42.59,humidity,Building 7-Floor 5
261,2025-07-29T22:45:40.919495,58.97,humidity,Building 12-Floor 1
262,2025-07-30T17:43:40.919500,926.97,pressure,Building 5-Floor 5
263,2025-07-31T00:29:40.919504,39.26,temperature,Building 13-Floor 1
264,2025-08-04T04:21:40.919509,79.0,humidity,Building 11-Floor 3
265,2025-07-31T04:49:40.919513,913.14,pressure,Building 2-Floor 2
266,2025-08-04T05:32:40.919518,26.5,temperature,Building 20-Floor 2
267,2025-08-02T11:01:40.919522,76.13,humidity,Building 5-Floor 4
268,2025-07-29T00:58:40.919527,21.67,temperature,Building 10-Floor 1
269,2025-08-04T15:02:40.919531,970.14,pressure,Building 12-Floor 1
270,2025-07-29T20:28:40.919536,904.64,pressure,Building 5-Floor 2
271,2025-08-02T19:19:40.919541,32.2,temperature,Building 13-Floor 2
272,2025-07-30T16:39:40.919545,51.27,humidity,Building 15-Floor 5
273,2025-08-03T22:44:40.919550,986.03,pressure,Building 11-Floor 3
274,2025-07-29T13:54:40.919554,26.14,temperature,Building 13-Floor 4
275,2025-08-04T06:24:40.919559,1024.61,pressure,Building 2-Floor 5
276,2025-08-01T16:12:40.919564,1099.96,pressure,Building 14-Floor 4
277,2025-08-01T14:15:40.919568,944.18,pressure,Building 1-Floor 1
278,2025-08-02T00:36:40.919572,17.94,temperature,Building 18-Floor 4
279,2025-07-31T13:27:40.919577,1055.37,pressure,Building 3-Floor 2
280,2025-07-28T20:36:40.919581,34.24,humidity,Building 5-Floor 2
281,2025-08-04T06:35:40.919586,940.23,pressure,Building 8-Floor 5
282,2025-08-02T16:27:40.919590,951.0,pressure,Building 10-Floor 1
283,2025-08-01T15:15:40.919595,39.14,temperature,Building 6-Floor 1
284,2025-07-29T23:58:40.919599,87.63,humidity,Building 3-Floor 1
285,2025-07-30T03:40:40.919604,1028.01,pressure,Building 16-Floor 2
286,2025-07-29T00:19:40.919608,901.99,pressure,Building 15-Floor 2
287,2025-08-01T17:04:40.919613,19.96,temperature,Building 4-Floor 3
288,2025-08-01T00:56:40.919617,974.86,pressure,Building 3-Floor 1
289,2025-08-04T03:08:40.919622,36.88,temperature,Building 2-Floor 5
290,2025-07-29T14:04:40.919626,16.73,temperature,Building 3-Floor 3
291,2025-08-01T12:29:40.919631,16.77,humidity,Building 13-Floor 1
292,2025-08-01T16:30:40.919635,47.21,humidity,Building 6-Floor 2
293,2025-08-03T06:30:40.919640,934.78,pressure,Building 9-Floor 4
294,2025-08-04T08:41:40.919644,14.88,humidity,Building 16-Floor 1
295,2025-08-04T05:19:40.919649,27.9,temperature,Building 17-Floor 3
296,2025-08-02T05:04:40.919653,30.06,temperature,Building 7-Floor 5
297,2025-08-03T06:08:40.919658,77.47,humidity,Building 7-Floor 1
298,2025-08-03T06:02:40.919662,54.89,humidity,Building 5-Floor 5
299,2025-08-03T23:25:40.919666,17.68,temperature,Building 15-Floor 1
300,2025-07-31T02:22:40.919671,55.08,humidity,Building 13-Floor 1
301,2025-08-03T23:11:40.919675,1002.66,pressure,Building 9-Floor 2
302,2025-08-01T20:28:40.919680,12.25,temperature,Building 1-Floor 2
303,2025-07-31T23:20:40.919684,903.21,pressure,Building 15-Floor 3
304,2025-08-04T03:26:40.919689,75.88,humidity,Building 20-Floor 2
305,2025-08-01T20:01:40.919693,942.67,pressure,Building 18-Floor 2
306,2025-07-30T21:50:40.919698,1048.24,pressure,Building 17-Floor 4
307,2025-07-28T23:57:40.919703,30.9,temperature,Building 10-Floor 3
308,2025-07-29T03:34:40.919707,63.13,humidity,Building 10-Floor 1
309,2025-07-28T23:53:40.919712,1089.11,pressure,Building 17-Floor 4
310,2025-07-28T23:54:40.919717,58.78,humidity,Building 5-Floor 3
311,2025-08-02T12:24:40.919721,31.22,humidity,Building 5-Floor 1
312,2025-08-02T13:31:40.919726,992.76,pressure,Building 16-Floor 3
313,2025-08-01T10:46:40.919730,920.65,pressure,Building 15-Floor 3
314,2025-08-01T16:06:40.919735,1015.5,pressure,Building 11-Floor 5
315,2025-08-03T12:34:40.919739,34.89,temperature,Building 19-Floor 3
316,2025-07-30T22:30:40.919744,946.68,pressure,Building 14-Floor 5
317,2025-08-03T04:17:40.919748,10.62,temperature,Building 19-Floor 1
318,2025-08-03T22:11:40.919753,22.82,temperature,Building 9-Floor 3
319,2025-07-30T05:24:40.919758,95.67,humidity,Building 8-Floor 3
320,2025-07-31T05:14:40.919762,14.99,temperature,Building 15-Floor 1
321,2025-07-30T14:40:40.919767,28.2,temperature,Building 3-Floor 4
322,2025-08-02T15:02:40.919772,1065.1,pressure,Building 1-Floor 3
323,2025-08-04T08:23:40.919776,948.78,pressure,Building 2-Floor 5
324,2025-07-29T03:25:40.919781,10.01,humidity,Building 8-Floor 1
325,2025-08-01T23:29:40.919785,56.76,humidity,Building 6-Floor 5
326,2025-07-28T23:59:40.919790,12.88,humidity,Building 4-Floor 4
327,2025-07-30T14:58:40.919794,18.71,temperature,Building 14-Floor 5
328,2025-07-30T07:16:40.919799,38.62,humidity,Building 20-Floor 2
329,2025-08-01T01:47:40.919803,924.3,pressure,Building 14-Floor 2
330,2025-07-30T11:57:40.919808,97.5,humidity,Building 16-Floor 3
331,2025-08-03T13:33:40.919812,933.1,pressure,Building 14-Floor 4
332,2025-08-01T06:24:40.919817,18.13,temperature,Building 2-Floor 1
333,2025-07-31T22:01:40.919821,93.83,humidity,Building 10-Floor 1
334,2025-08-03T07:33:40.919826,949.98,pressure,Building 16-Floor 1
335,2025-08-02T12:08:40.919830,960.14,pressure,Building 4-Floor 4
336,2025-07-31T16:33:40.919835,34.77,temperature,Building 8-Floor 2
337,2025-07-30T01:25:40.919840,980.24,pressure,Building 18-Floor 2
338,2025-07-30T21:12:40.919844,17.19,humidity,Building 8-Floor 2
339,2025-07-29T02:35:40.919849,943.19,pressure,Building 20-Floor 4
340,2025-08-04T17:17:40.919854,72.76,humidity,Building 7-Floor 4
341,2025-07-30T05:31:40.919858,35.94,temperature,Building 11-Floor 1
342,2025-08-02T05:23:40.919863,1080.37,pressure,Building 4-Floor 5
343,2025-08-02T04:04:40.919867,11.84,temperature,Building 11-Floor 2
344,2025-08-02T13:14:40.919872,979.78,pressure,Building 6-Floor 4
345,2025-07-29T00:59:40.919876,1033.78,pressure,Building 2-Floor 1
346,2025-08-03T15:15:40.919880,30.22,temperature,Building 13-Floor 4
347,2025-08-03T17:21:40.919885,49.09,humidity,Building 8-Floor 1
348,2025-08-03T21:42:40.919889,56.82,humidity,Building 14-Floor 3
349,2025-08-01T22:13:40.919894,94.76,humidity,Building 15-Floor 3
350,2025-07-30T14:58:40.919898,990.26,pressure,Building 17-Floor 4
351,2025-08-04T09:43:40.919903,950.54,pressure,Building 16-Floor 1
352,2025-08-02T23:02:40.919907,926.44,pressure,Building 17-Floor 4
353,2025-08-02T22:03:40.919912,11.52,temperature,Building 15-Floor 4
354,2025-08-01T01:40:40.919916,1032.1,pressure,Building 6-Floor 2
355,2025-07-31T20:26:40.919921,36.36,temperature,Building 13-Floor 4
356,2025-07-29T18:14:40.919925,34.83,temperature,Building 7-Floor 3
357,2025-08-04T13:18:40.919930,4.95,humidity,Building 15-Floor 3
358,2025-07-31T05:35:40.919934,88.38,humidity,Building 10-Floor 2
359,2025-08-03T08:22:40.919939,82.8,humidity,Building 16-Floor 3
360,2025-07-31T11:23:40.919943,12.0,temperature,Building 2-Floor 4
361,2025-08-01T21:31:40.919947,34.41,temperature,Building 14-Floor 3
362,2025-08-03T14:14:40.919952,70.57,humidity,Building 18-Floor 3
363,2025-08-03T02:59:40.919957,96.51,humidity,Building 18-Floor 4
364,2025-08-03T11:16:40.919961,2.28,humidity,Building 18-Floor 3
365,2025-08-04T15:22:40.919983,76.84,humidity,Building 14-Floor 1
366,2025-08-03T17:55:40.919989,76.9,humidity,Building 14-Floor 3
367,2025-07-31T18:49:40.919993,37.2,temperature,Building 11-Floor 4
368,2025-07-31T08:08:40.919998,10.77,temperature,Building 8-Floor 3
369,2025-07-31T01:45:40.920002,909.25,pressure,Building 15-Floor 5
370,2025-07-29T17:22:40.920007,39.9,temperature,Building 15-Floor 1
371,2025-07-29T07:04:40.920011,951.15,pressure,Building 19-Floor 1
372,2025-08-04T01:11:40.920016,58.14,humidity,Building 18-Floor 2
373,2025-08-02T09:03:40.920020,1011.43,pressure,Building 4-Floor 3
374,2025-08-01T23:58:40.920025,5.12,humidity,Building 11-Floor 2
375,2025-08-04T10:16:40.920029,999.21,pressure,Building 16-Floor 1
